اطلاعات ورود به سیستم,,,,عملیات,,,سند,,,,
شناسه,شعبه,سال مالی,کاربر,تاریخ,زمان,نوع,سیستم,نوع,شماره,تاریخ,توضیحات
,شركت بنا بام بيستون (سهامي خاص),1405,برهان,1405/04/09,14:27:55, حذف موجوديت,حسابداري,سند حسابداري,2584,1405/02/03,سند عمومي با شماره 2584 حذف شد
,شركت دنا بنيان بيرجند (سهامي خاص),1404,نباتي2,1405/04/09,14:27:49, ويرايش موجوديت,حسابداري,سند حسابداري,8804,1404/12/15,سند عمومي با شماره 8804 تاييد شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,آقاحاجي,1405/04/09,14:27:41,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1404,شاهروديان1,1405/04/09,14:27:14, ويرايش موجوديت,خزانه داري,سند حسابداري,20518,1404/08/14,سند عمومي با شماره 20518 تاييد شد
,شركت دنا بنيان بيرجند (سهامي خاص),1404,نباتي2,1405/04/09,14:27:12, ويرايش موجوديت,حسابداري,سند حسابداري,8945,1404/12/15,سند عمومي با شماره ثابت 8945 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,عبدپور_طرق,1405/04/09,14:26:57, ويرايش موجوديت,انبار,سند انبار,7882,1405/02/20,سند رسيد خريد  با شماره 7882 ثبت شد
,شعبه ششم,1404,برهان,1405/04/09,14:26:54, حذف موجوديت,حسابداري,سند حسابداري,29292,1404/11/25,سند عمومي با شماره 29292 حذف شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,جوانمرد3,1405/04/09,14:26:25,موجوديت جديد,خزانه داري,سند حسابداري,8511,1404/07/06,سند عمومي با شماره 8511 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,جوانمرد3,1405/04/09,14:26:09,موجوديت جديد,خزانه داري,سند خزانه داري,2855,1404/07/06,سند صورت هزينه تنخواه با شماره 2855 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1404,شاهروديان1,1405/04/09,14:25:56,ورود موفق,,نشست,,,
